id;nome;categoria_regulatoria;data_vencimento_registro;classe_terapeutica;mari;situacao_registro;principio_ativo;estoque;preco
10238;NECTAR&AGRIÃO;FITOTERÁPICO;2007-03-01;ANTITUSSIGENOS;S;CANCELADO;CADUCOU;29;209
10239;NEDAX;SIMILAR;2020-09-01;ESCABICIDAS E OUTROS ECTOPARASITICIDAS;S;CANCELADO;CADUCOU;9;377
10240;NEFAZODONA;SIMILAR;2001-09-01;ANTIDEPRESSIVOS;S;CANCELADO;CADUCOU;26;200
10241;NEFIVIR;SIMILAR;2009-10-01;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);S;CANCELADO;CADUCOU;17;150
10242;NEFROSOL- CPHD-FRAÇÃO ÁCIDA;NÃO ESPECIFICADO;2016-02-01;PRODUTOS PARA HEMODIALISE;S;CANCELADO;CADUCOU;24;322
10243;NEFROSOL-- CPHD-FRAÇÃO BÁSICA;NÃO ESPECIFICADO;2016-02-01;PRODUTOS PARA HEMODIALISE;S;CANCELADO;CADUCOU;14;231
10244;NELFINAVIR;SIMILAR;2007-05-01;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);S;CANCELADO;CADUCOU;6;198
10245;NELFINAVIR (PORT 344/98 LISTA C4);SIMILAR;2005-12-01;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);S;CANCELADO;CADUCOU;20;256
10246;NELFINAX;SIMILAR;2004-11-01;ANTIVIROTICOS;S;CANCELADO;CADUCOU;9;162
10247;NELFIX;SIMILAR;2005-07-01;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);S;CANCELADO;CADUCOU;9;96
10248;NELVIX;SIMILAR;2008-04-01;ANTIVIROTICOS;S;CANCELADO;CADUCOU;5;13
10249;NEMICINA;SIMILAR;2017-07-01;ANTIBIOTICOS SISTEMICOS SIMPLES;S;CANCELADO;CADUCOU;30;455
10250;NEMODINE;SIMILAR;2023-10-01;ANTI-HIPERTENSIVOS SIMPLES;S;VÁLIDO;BESILATO DE AMLODIPINA;21;184
10251;NEMOXIL;SIMILAR;2026-11-01;ANTIBIOTICOS SISTEMICOS SIMPLES;S;CANCELADO;CADUCOU;6;297
10252;NENE DENT N;NOVO;2029-10-01;PRODUTOS ODONTOLOGICOS;S;CANCELADO;CADUCOU;7;216
10253;NEO - AMITRIPTILIN;SIMILAR;2011-12-01;ANTIDEPRESSIVOS;S;CANCELADO;CADUCOU;0;20
10254;NEO - CORT;SIMILAR;1998-08-01;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;S;CANCELADO;CADUCOU;12;244
10255;NEO -TUSSIL;SIMILAR;2004-06-01;ANTITUSSIGENOS SIMPLES;S;CANCELADO;CADUCOU;1;198
10256;NEO AMITRIPTILIN;SIMILAR;2026-07-01;ANTIDEPRESSIVOS;S;CANCELADO;CADUCOU;27;169
10257;NEO AMPICILIN;SIMILAR;2013-12-01;ANTIBIOTICOS SISTEMICOS SIMPLES;S;CANCELADO;CADUCOU;3;397
10258;NEO BENDAZOL;SIMILAR;2010-02-01;AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS;S;CANCELADO;CADUCOU;26;145
10259;NEO CEBETIL COMPLEXO;ESPECÍFICO;2029-04-01;VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS;S;VÁLIDO;CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  FRUTOSE +  NICOTINAMIDA +  FOSFATO SÓDICO DE RIBOFLAVINA +  ÁCIDO ASCÓRBICO;9;241
10260;NEO CEFIX;SIMILAR;2003-04-01;CEFALOSPORINAS;S;CANCELADO;CADUCOU;5;320
10261;NEO CEFOX;SIMILAR;2006-06-01;ANTINFECCIOSOS;S;CANCELADO;CADUCOU;13;472
10262;NEO CLODIL;SIMILAR;2002-06-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;4;189
10263;NEO CLOTRIMAZYL;SIMILAR;2011-03-01;ANTIMICOTICO;S;CANCELADO;CADUCOU;14;147
10264;NEO DECAPEPTYL;NOVO;2025-03-01;OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;S;VÁLIDO;EMBONATO DE TRIPTORRELINA;2;271
10265;NEO DIGOXIN;SIMILAR;2012-10-01;GLICOSIDEOS CARDIACOS;S;CANCELADO;CADUCOU;5;166
10266;NEO DIMETICON;SIMILAR;2013-12-01;ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES;S;CANCELADO;CADUCOU;22;341
10267;NEO ERITROMICIN;SIMILAR;2001-10-01;ANTIBIOTICOS SISTEMICOS SIMPLES;S;CANCELADO;CADUCOU;26;79
10268;NEO FARMATOX;ESPECÍFICO;2005-04-01;HEPATOPROTETORES E LIPOTROPICOS;S;CANCELADO;CADUCOU;12;297
10269;NEO FEDIPINA;SIMILAR;2014-12-01;ANTIANGINOSOS E VASODILATADORES;S;CANCELADO;CADUCOU;9;250
10270;NEO FENICOL;SIMILAR;2012-05-01;ANTIBIOTICOS SISTEMICOS SIMPLES;S;CANCELADO;CADUCOU;0;89
10271;NEO FLUOXETIN;SIMILAR;2011-06-01;ANTIDEPRESSIVOS;S;CANCELADO;CADUCOU;15;466
10272;NEO FOLICO;SIMILAR;2006-08-01;ANTIANEMICOS;S;CANCELADO;CADUCOU;15;148
10273;NEO FRESH;ESPECÍFICO;2028-05-01;OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL;S;VÁLIDO;CARMELOSE SÓDICA;9;290
10274;NEO FÓLICO;ESPECÍFICO;2014-03-01;ANTIANEMICOS;S;CANCELADO;CADUCOU;3;366
10275;NEO GASTROSAN;SIMILAR;2004-08-01;ENZIMAS DIGESTIVAS;S;CANCELADO;CADUCOU;4;1
10276;NEO GENTAMICIN;SIMILAR;2011-07-01;ANTIBIOTICOS SISTEMICOS SIMPLES;S;CANCELADO;CADUCOU;7;324
10277;NEO HALOP;SIMILAR;2002-03-01;NEUROLEPTICOS;S;CANCELADO;CADUCOU;23;81
10278;NEO HIDROCLOR;SIMILAR;2009-08-01;DIURETICOS;S;CANCELADO;CADUCOU;0;355
10279;NEO ISOCADEN;SIMILAR;2015-06-01;ANTIMICOTICO;S;CANCELADO;CADUCOU;2;170
10280;NEO ITRAX;SIMILAR;2013-06-01;ANTIMICOTICOS SISTEMICOS;S;CANCELADO;CADUCOU;14;277
10281;NEO LEVOMEP;SIMILAR;2007-02-01;NEUROPSICOESTIMULANTES;S;CANCELADO;CADUCOU;12;389
10282;NEO LINCO;SIMILAR;2011-06-01;ANTIBIOTICOS SISTEMICOS SIMPLES;S;CANCELADO;CADUCOU;14;137
10283;NEO LORATADIN;SIMILAR;2012-07-01;ANTI-HISTAMINICOS SISTEMICOS;S;CANCELADO;CADUCOU;20;285
10284;NEO METFORMIN;SIMILAR;2011-06-01;ANTIDIABETICOS;S;CANCELADO;CADUCOU;23;341
10285;NEO MISTATIN;SIMILAR;2012-03-01;ANTIMICOTICO + PRODUTO PARA TRATAMENTO DA TRICOMONIASE;S;CANCELADO;CADUCOU;30;26
10286;NEO MOXILIN;SIMILAR;2012-03-01;PENICILINA DE AMPLO ESPECTRO;S;CANCELADO;CADUCOU;8;490
10287;NEO NASAL;SIMILAR;2010-03-01;DESCONGESTIONANTES NASAIS TOPICOS;S;CANCELADO;CADUCOU;15;58
10288;NEO REPAR;SIMILAR;2009-03-01;ANTIVARICOSOS DE ACAO SISTEMICA;S;CANCELADO;CADUCOU;3;430
10289;NEO TABS;SIMILAR;2005-01-01;OUTRAS ASSOCIACOES DE QUIMIOTERAPICOS ANTINFECCIOSOS;S;CANCELADO;CADUCOU;21;61
10290;NEO TIONAZOL;SIMILAR;2015-06-01;ANTIMICOTICOS PARA USO TOPICO;S;CANCELADO;CADUCOU;4;43
10291;NEO ZINC;ESPECÍFICO;2007-02-01;NUTRIENTES PARENTERAIS;S;CANCELADO;CADUCOU;14;364
10292;NEO-DOXICILIN;SIMILAR;2011-08-01;ANTIBIOTICOS SISTEMICOS SIMPLES;S;CANCELADO;CADUCOU;25;469
10293;NEO-RINACTIVE;SIMILAR;2005-11-01;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;S;CANCELADO;CADUCOU;8;273
10294;NEO-SINEFRINA;SIMILAR;2001-10-01;DESCONGESTIONANTES NASAIS TOPICOS;S;CANCELADO;CADUCOU;14;329
10295;NEO-ZINCTRACE;ESPECÍFICO;2025-11-01;NUTRIENTES PARENTERAIS;S;VÁLIDO;SULFATO DE ZINCO HEPTAIDRATADO;27;392
10296;NEOBAC;SIMILAR;2006-11-01;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;25;422
10297;NEOBACEN;SIMILAR;2008-05-01;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;16;111
10298;NEOBACINA;SIMILAR;2012-03-01;CICATRIZANTES;S;CANCELADO;CADUCOU;30;229
10299;NEOBATRIN;SIMILAR;2009-04-01;ANTINFECCIOSOS TOPICOS;S;CANCELADO;CADUCOU;6;351
10300;NEOBUTAMINA;SIMILAR;2011-09-01;HIPERTENSOR;S;CANCELADO;CADUCOU;8;223
10301;NEOCAINA;SIMILAR;2026-12-01;ANESTESICOS LOCAIS;S;VÁLIDO;CLORIDRATO DE BUPIVACAÍNA;20;444
10302;NEOCAINA PESADA;SIMILAR;2028-07-01;ANESTESICOS LOCAIS;S;VÁLIDO;CLORIDRATO DE BUPIVACAÍNA +  GLICOSE;0;130
10303;NEOCAL D;ESPECÍFICO;2016-02-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;CANCELADO;CADUCOU;14;10
10304;NEOCARBON;SIMILAR;2004-07-01;PRODUTOS NATURAIS ASSOCIADOS;S;CANCELADO;CADUCOU;28;409
10305;NEOCAÍNA COM VASOCONSTRITOR;SIMILAR;2025-03-01;ANESTESICOS LOCAIS;S;VÁLIDO;CLORIDRATO DE BUPIVACAÍNA +  HEMITARTARATO DE EPINEFRINA;21;227
10306;NEOCEFADRIL;SIMILAR;2008-12-01;ANTINFECCIOSOS;S;CANCELADO;CADUCOU;25;77
10307;NEOCEFLEX;SIMILAR;2014-09-01;CEFALOSPORINAS;S;CANCELADO;CADUCOU;22;175
10308;NEOCEFTRIONA;SIMILAR;2006-07-01;ANTINFECCIOSOS;S;CANCELADO;CADUCOU;14;411
10309;NEOCEP (ETANERCEPTE);BIOLÓGICO;2018-03-01;ANTINFLAMATORIOS;S;CANCELADO;CADUCOU;18;420
10310;NEOCETHEO;SIMILAR;2026-08-01;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;S;VÁLIDO;BACITRACINA ZÍNCICA +  METILPARABENO +  SULFATO DE NEOMICINA;6;439
10311;NEOCETRIN;SIMILAR;2018-01-01;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;15;115
10312;NEOCINA;SIMILAR;2005-01-01;ANTIBIOTICOS SISTEMICOS SIMPLES;S;CANCELADO;CADUCOU;4;239
10313;NEOCITEC;SIMILAR;2008-01-01;ANTINEOPLASICOS CITOTOXICOS;S;CANCELADO;CADUCOU;28;356
10314;NEOCLAVOX;SIMILAR;2006-09-01;ANTIBIOTICOS SISTEMICOS SIMPLES;S;VÁLIDO;AMOCIXILINA TRIHIDRATADA +  ÁCIDO CLAVULÂNICO;19;325
10315;NEOCLOST;SIMILAR;2014-08-01;CERATOLITICOS E CERATOPLASTICOS;S;CANCELADO;CADUCOU;4;257
10316;NEOCOFLAN;SIMILAR;2014-04-01;ANTINFLAMATORIOS;S;CANCELADO;CADUCOU;5;148
10317;NEOCOPAN;SIMILAR;2011-09-01;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS;S;CANCELADO;CADUCOU;5;221
10318;NEOCOPAN COMPOSTO;SIMILAR;2026-09-01;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS;S;CANCELADO;CADUCOU;18;439
10319;NEOCORTIN;SIMILAR;2013-08-01;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES;S;CANCELADO;CADUCOU;4;152
10320;NEOCULAR;SIMILAR;2014-01-01;ANTINFLAMATORIOS;S;CANCELADO;CADUCOU;2;219
10321;NEODAZOL;SIMILAR;2010-12-01;AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS;S;CANCELADO;CADUCOU;20;333
10322;NEODERM;SIMILAR;2013-02-01;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;4;63
10323;NEODERME;SIMILAR;2005-03-01;ANTINFECCIOSOS TOPICOS;S;CANCELADO;CADUCOU;22;163
10324;NEODERMICINA;SIMILAR;2009-06-01;ANTINFECCIOSOS TOPICOS;S;CANCELADO;CADUCOU;12;197
10325;NEODEX;SIMILAR;2011-02-01;ANTINFECCIOSOS;S;CANCELADO;CADUCOU;24;224
10326;NEODEX N;SIMILAR;2015-09-01;ANTINFECCIOSOS;S;CANCELADO;CADUCOU;14;417
10327;NEODIA;SIMILAR;2016-05-01;ANTICONCEPCIONAIS;S;CANCELADO;CADUCOU;25;347
10328;NEODRIN;SIMILAR;2010-06-01;ANTIEMETICOS E ANTINAUSEANTES;S;CANCELADO;CADUCOU;30;458
10329;NEODRONEX;SIMILAR;2028-03-01;GLICOCORTICOIDES SISTEMICOS;S;CANCELADO;CADUCOU;14;154
10330;NEODRONEX N;NÃO ESPECIFICADO;2025-09-01;ANTINFECCIOSOS;S;CANCELADO;CADUCOU;8;100
10331;NEODROX GEL;SIMILAR;2004-02-01;ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS;S;CANCELADO;CADUCOU;17;477
10332;NEOFEDRIN;SIMILAR;2009-01-01;ANTI-HISTAMINICOS SISTEMICOS;S;CANCELADO;CADUCOU;4;432
10333;NEOFILIN;SIMILAR;2006-08-01;BRONCODILATADORES;S;CANCELADO;CADUCOU;14;222
10334;NEOFLOXIN;SIMILAR;2006-06-01;ANTIBIOTICOS SISTEMICOS SIMPLES;S;CANCELADO;CADUCOU;20;489
10335;NEOGECIM;SIMILAR;2012-09-01;ANTINFECCIOSOS TOPICOS;S;CANCELADO;CADUCOU;5;325
10336;NEOGEDRAT;SIMILAR;2019-11-01;NÃO ESPECIFICADO;S;CANCELADO;CADUCOU;19;498
10337;NEOLAPRIL;SIMILAR;2005-08-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;0;376
10338;NEOLASIL;SIMILAR;2006-06-01;ANTIEMETICOS E ANTINAUSEANTES;S;CANCELADO;CADUCOU;9;412
10339;NEOLEFRIN;SIMILAR;2014-04-01;PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE;S;CANCELADO;CADUCOU;18;109
10340;NEOLEFRIN BABY;SIMILAR;2010-07-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;20;355
10341;NEOLEFRIN DIA;SIMILAR;2027-05-01;ANALGESICOS NAO NARCOTICOS;S;VÁLIDO;CLORIDRATO DE FENILEFRINA +  PARACETAMOL;16;488
10342;NEOLEND;SIMILAR;2009-07-01;ESCABICIDAS E OUTROS ECTOPARASITICIDAS;S;CANCELADO;CADUCOU;25;210
10343;NEOLIDONA;NÃO ESPECIFICADO;2020-07-01;DIURETICOS;S;CANCELADO;CADUCOU;20;449
10344;NEOLITIUM;SIMILAR;2001-12-01;ANTIDEPRESSIVOS;S;CANCELADO;CADUCOU;22;190
10345;NEOLON  D;SIMILAR;2014-09-01;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;S;CANCELADO;CADUCOU;17;154
10346;NEOLON D;NÃO ESPECIFICADO;2022-05-01;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;S;CANCELADO;CADUCOU;21;16
10347;NEOM;SIMILAR;2014-01-01;AMINOGLICOSIDEOS;S;CANCELADO;CADUCOU;13;377
10348;NEOMEBEND;SIMILAR;2014-05-01;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;S;CANCELADO;CADUCOU;26;425
10349;NEOMED;SIMILAR;2026-09-01;ANTINFECCIOSOS TOPICOS;S;VÁLIDO;SULFATO DE NEOMICINA;6;117
10350;NEOMESART HCT;SIMILAR;2026-02-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;2;334
10351;NEOMETRODAZOL;SIMILAR;2009-04-01;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;S;CANCELADO;CADUCOU;25;447
10352;NEOMICIN;SIMILAR;2018-08-01;ANTIBIOTICOS SISTEMICOS SIMPLES + ANTINFLAMATORIOS ANTIREUMATICOS;S;CANCELADO;CADUCOU;29;471
10353;NEOMICINA - BRAS;SIMILAR;2004-07-01;ANTINFECCIOSOS TOPICOS;S;CANCELADO;CADUCOU;22;358
10354;NEOMICINA E BACITRACINA;SIMILAR;2003-02-01;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;23;113
10355;NEOMICON;SIMILAR;2025-03-01;ANTINFECCIOSOS;S;VÁLIDO;NEOMICINA;0;33
10356;NEOMINA;SIMILAR;2007-01-01;ANTIBIOTICOS SISTEMICOS SIMPLES;S;CANCELADO;CADUCOU;4;75
10357;NEONAZOL;SIMILAR;2027-12-01;DESCONGESTIONANTES NASAIS TOPICOS;S;VÁLIDO;CLORETO DE BENZALCÔNIO +  CLORETO DE SÓDIO +  CLORIDRATO DE NAFAZOLINA;20;477
10358;NEONID;SIMILAR;2014-03-01;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;S;CANCELADO;CADUCOU;25;59
10359;NEOPAMIL;SIMILAR;2001-08-01;ANTIANGINOSOS E VASODILATADORES;S;CANCELADO;CADUCOU;26;176
10360;NEOPANTOL;ESPECÍFICO;2016-01-01;OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS;S;CANCELADO;CADUCOU;13;295
10361;NEOPERIDIL;SIMILAR;2006-10-01;NEUROLEPTICOS;S;CANCELADO;CADUCOU;23;55
10362;NEOPIRIDIN;SIMILAR;2013-06-01;PRODUTOS PARA OROFARINGE;S;CANCELADO;CADUCOU;11;189
10363;NEOPLASTIN;SIMILAR;2001-12-01;ANTINEOPLASICO;S;CANCELADO;CADUCOU;29;240
10364;NEOPLATINE;SIMILAR;2006-05-01;ANTINEOPLASICOS CITOTOXICOS;S;CANCELADO;CADUCOU;13;221
10365;NEOPLEXUS;ESPECÍFICO;2031-12-01;PRODUTOS A BASE DE VIT  B 12-ASSOCIACOES MEDICAMENTOSAS;S;VÁLIDO;CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  NITRATO DE TIAMINA;5;469
10366;NEOPOSÍDEO;SIMILAR;2010-05-01;ANTINEOPLASICOS CITOTOXICOS;S;CANCELADO;CADUCOU;5;35
10367;NEOPRAZOL;SIMILAR;2012-12-01;ANTIULCEROSOS;S;CANCELADO;CADUCOU;2;337
10368;NEOPRESS;SIMILAR;2005-05-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;21;296
10369;NEOPRESS H;SIMILAR;2015-05-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;13;112
10370;NEOPROFEN;SIMILAR;2005-07-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;7;469
10371;NEOPROXIC;SIMILAR;2007-08-01;OCITOCICOS HORMONAIS;S;CANCELADO;CADUCOU;9;362
10372;NEORINO;ESPECÍFICO;2012-06-01;DESCONGESTIONANTES NASAIS TOPICOS;S;CANCELADO;CADUCOU;11;72
10373;NEOSAC;SIMILAR;2013-08-01;ANTIULCEROSOS;S;CANCELADO;CADUCOU;0;346
10374;NEOSALDINA;NÃO ESPECIFICADO;2007-03-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;28;304
10375;NEOSALDINA DIP;SIMILAR;2031-06-01;ANALGESICOS NAO NARCOTICOS;S;VÁLIDO;DIPIRONA MONOIDRATADA;25;410
10376;NEOSALDOR;SIMILAR;2015-02-01;ANALGESICOS;S;CANCELADO;CADUCOU;12;345
10377;NEOSARTAN;SIMILAR;2018-09-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;5;278
10378;NEOSEMID;SIMILAR;2012-10-01;DIURETICOS;S;CANCELADO;CADUCOU;22;153
10379;NEOSETRON;SIMILAR;2002-10-01;ANTIEMETICOS E ANTINAUSEANTES;S;CANCELADO;CADUCOU;18;175
10380;NEOSORO;SIMILAR;2015-07-01;DESCONGESTIONANTES NASAIS TOPICOS;S;CANCELADO;CADUCOU;23;217
10381;NEOSORO H;ESPECÍFICO;2012-09-01;DESCONGESTIONANTES NASAIS TOPICOS;S;CANCELADO;CADUCOU;1;134
10382;NEOSORO INFANTIL;SIMILAR;2010-10-01;DESCONGESTIONANTES NASAIS TOPICOS;S;CANCELADO;CADUCOU;3;399
10383;NEOSSOLVAN;SIMILAR;2011-10-01;EXPECTORANTES BALSAMICOS E MUCOLITICO;S;VÁLIDO;CLORIDRATO DE AMBROXOL;8;234
10384;NEOSTATIN;SIMILAR;2015-01-01;ANTIMICOTICOS SISTEMICOS;S;CANCELADO;CADUCOU;28;204
10385;NEOSTIGMIN;SIMILAR;2004-09-01;ANTIMIASTENICOS E DESCURARIZANTES;S;VÁLIDO;METILSULFATO DE NEOSTIGMINA;6;108
10386;NEOSTIGMINE;SIMILAR;2004-08-01;RELAXANTES MUSCULARES CENTRAIS SIMPLES;S;CANCELADO;CADUCOU;3;202
10387;NEOSULIDA;SIMILAR;2012-09-01;ANTINFLAMATORIOS;S;CANCELADO;CADUCOU;9;25
10388;NEOSULIN L;SIMILAR;2008-11-01;ANTIDIABETICOS;S;CANCELADO;CADUCOU;28;483
10389;NEOSULIN N;NOVO;2008-11-01;ANTIDIABETICOS;S;CANCELADO;CADUCOU;3;216
10390;NEOSULIN REGULAR;NOVO;2008-11-01;ANTIDIABETICOS;S;CANCELADO;CADUCOU;11;448
10391;NEOTAFLAN;SIMILAR;2012-06-01;ANTINFLAMATORIOS;S;CANCELADO;CADUCOU;26;117
10392;NEOTAREN;SIMILAR;2009-06-01;ANTINFLAMATORIOS ANTIREUMATICOS;S;CANCELADO;CADUCOU;9;59
10393;NEOTAXEL;SIMILAR;2014-03-01;ANTINEOPLASICO;S;CANCELADO;CADUCOU;13;24
10394;NEOTENOL;SIMILAR;2005-09-01;AGENTES BETABLOQUEADORES;S;CANCELADO;CADUCOU;1;490
10395;NEOTIAPIM;SIMILAR;2026-05-01;ANTIPSICOTICOS;S;VÁLIDO;HEMIFUMARATO DE QUETIAPINA;22;310
10396;NEOTIGASON;NOVO;2012-03-01;CERATOLITICOS E CERATOPLASTICOS;S;CANCELADO;CADUCOU;22;102
10397;NEOTONAVIR;SIMILAR;2006-02-01;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);S;CANCELADO;CADUCOU;6;293
10398;NEOTOP;SIMILAR;2005-06-01;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;29;406
10399;NEOTOSS;SIMILAR;2011-08-01;ANTITUSSIGENOS;S;CANCELADO;CADUCOU;29;439
10400;NEOTRAMOL;SIMILAR;2020-06-01;ANALGESICOS NARCOTICOS;S;CANCELADO;CADUCOU;20;117
10401;NEOTREXAL;SIMILAR;2002-11-01;ANTINEOPLASICO;S;CANCELADO;CADUCOU;28;477
10402;NEOTRICIN;SIMILAR;2015-09-01;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;30;159
10403;NEOTRIN;NÃO ESPECIFICADO;2008-06-01;TRIMETOPRIMA EM ASSOCIACAO COM SULFAS;S;CANCELADO;CADUCOU;17;249
10404;NEOTRIN BALSÂMICO;SIMILAR;1999-07-01;TRIMETOPRIMA EM ASSOCIACAO COM SULFAS;S;CANCELADO;CADUCOU;6;137
10405;NEOVANGY MR;SIMILAR;2028-08-01;ANTIANGINOSOS E VASODILATADORES;S;VÁLIDO;DICLORIDRATO DE TRIMETAZIDINA;23;221
10406;NEOVERMIN;SIMILAR;2011-08-01;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;S;CANCELADO;CADUCOU;23;378
10407;NEOVERPAMIL;SIMILAR;2004-08-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;13;135
10408;NEOVLAR;NOVO;2014-12-01;ANTICONCEPCIONAIS;S;CANCELADO;CADUCOU;2;325
10409;NEOXANE;SIMILAR;2007-11-01;ANTIBIOTICOS ANTINEOPLASICOS;S;CANCELADO;CADUCOU;23;163
10410;NEOZIMINA;SIMILAR;2004-03-01;HANSENOSTATICOS;S;CANCELADO;CADUCOU;12;76
10411;NEOZINE;NOVO;2022-11-01;NEUROLEPTICOS;S;CANCELADO;CADUCOU;2;318
10412;NEOZOL;SIMILAR;2010-06-01;ANTIULCEROSOS;S;CANCELADO;CADUCOU;30;447
10413;NEOZOLAM;SIMILAR;2010-07-01;ANSIOLITICOS SIMPLES;S;CANCELADO;CADUCOU;0;66
10414;NEPECEF;SIMILAR;2012-10-01;CEFALOSPORINAS;S;CANCELADO;CADUCOU;29;296
10415;NEPEXTO;BIOLÓGICO;2031-12-01;ANTINFLAMATORIOS;S;VÁLIDO;ETANERCEPTE;27;461
10416;NEPEZIL;SIMILAR;2021-12-01;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;S;CANCELADO;CADUCOU;8;190
10417;NEPHROTECT;ESPECÍFICO;2028-01-01;NUTRIENTES PARENTERAIS;S;VÁLIDO;ACETATO DE LISINA +  GLICINA +  L-ALANINA +  L-ARGININA +  L-FENILALANINA +  L-HISTIDINA +  L-ISOLEUCINA +  L-LEUCINA +  L-METIONINA +  L-PROLINA +  L-SERINA +  L-TIROSINA +  L-TREONINA +  L-TRIPTOFANO +  LEVOVALINA +  N-ACETIL CISTEÍNA +  GLICILTIROSINA;13;396
10418;NEPIL;GENÉRICO;2030-09-01;ANTICONVULSIVANTES;S;VÁLIDO;LAMOTRIGINA;2;151
10419;NEPODEX;SIMILAR;2006-08-01;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;S;CANCELADO;CADUCOU;6;5
10420;NEPRAZOL;SIMILAR;2022-12-01;ANTIULCEROSOS;S;CANCELADO;CADUCOU;22;104
10421;NEPRESOL;SIMILAR;2027-10-01;ANTI-HIPERTENSIVOS SIMPLES;S;VÁLIDO;CLORIDRATO DE HIDRALAZINA;5;343
10422;NERALGYN;SIMILAR;2029-12-01;ANALGESICOS NAO NARCOTICOS;S;VÁLIDO;CAFEÍNA ANIDRA +  MUCATO DE ISOMETEPTENO +  DIPIRONA MONOIDRATADA;29;218
10423;NERISONA;NOVO;2011-12-01;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;S;CANCELADO;CADUCOU;22;138
10424;NERIZINA;SIMILAR;2011-12-01;VASODILATADORES;S;CANCELADO;CADUCOU;22;19
10425;NERLYNX;NOVO;2036-12-01;AGENTES ANTINEOPLÁSICOS;S;VÁLIDO;MALEATO DE NERATINIBE;5;62
10426;NEROLOM;ESPECÍFICO;2027-07-01;POLIVITAMINICOS COM MINERAIS;S;CANCELADO;CADUCOU;25;261
10427;NERVAMIN;ESPECÍFICO;2026-06-01;MONOVITAMINAS EXCETO VITAMINA K;S;VÁLIDO;CLORIDRATO DE TIAMINA;21;391
